latitude,longitude,Camp_ID,CiC_Camp,Settlement,Site_name,New_Camp_N,Union_1,Shape_Leng,New_Camp_S,District,Shape_Area,Upazila
21.11689751,92.10674592,Madarbuniya,,,,Madarbuniya,Jalia Palong,,CXB-019,Coxs_Bazar,,Ukhia
21.235655,92.145435,Md. Alir Vita,,,,Md. Alir Vita,Raja Palong,,CXB-020,Coxs_Bazar,,Ukhia
21.20287131,92.04950012,Md. Shafir Beel,,,,Md. Shafir Beel,Jalia Palong,,CXB-021,Coxs_Bazar,,Ukhia
20.88625267,92.25347792,Mitapanir chora,,,,Mitapanir chora,Teknaf,,CXB-087,Coxs_Bazar,,Teknaf
21.13331118,92.19366516,Monirghona,,,,Monirghona,Whykong,,CXB-050,Coxs_Bazar,,Teknaf
21.31247984,92.09884439,Moriccha,,,,Moriccha,Haldia Palong,,CXB-051,Coxs_Bazar,,Ukhia
21.14862712,92.13193285,Mucharkula,,,,Mucharkula,Palong Khali,,CXB-022,Coxs_Bazar,,Ukhia
20.87886737,92.29729918,Naitongpara,,,,Naitongpara,Teknaf Paurashava,,CXB-023,Coxs_Bazar,,Teknaf
21.064971,92.223951,Nayapara,,,,Nayapara,Whykong,,CXB-024,Coxs_Bazar,,teknaf
20.80849397,92.31650235,Nayapara Teknaf (Entry point south near Sabrang and Mogpara),,,,Nayapara Teknaf (Entry point south near Sabrang and Mogpara),Sabrang,,CXB-052,Coxs_Bazar,,Teknaf
20.871061,92.294477,Pallanpara,,,,Pallanpara,Teknaf Paurashava,,CXB-026,Coxs_Bazar,,teknaf
21.012823,92.239857,Pankhali,,,,Pankhali,Nhilla,,CXB-027,Coxs_Bazar,,teknaf
21.26590769,92.08900567,Panneyesia,,,,Panneyesia,Jalia Palong,,CXB-028,Coxs_Bazar,,Ukhia
21.31201977,92.14420796,Patabari,,,,Patabari,Haldia Palong,,CXB-054,Coxs_Bazar,,Ukhia
21.26520973,92.10871477,Sadrikhata,,,,Sadrikhata,Ratna Palong,,CXB-055,Coxs_Bazar,,Ukhia
21.23890325,92.15300165,Seiler Chor (Seiler Chor T&T),,,,Seiler Chor (Seiler Chor T&T),Raja Palong,,CXB-031,Coxs_Bazar,,Ukhia
20.77100603,92.3298981,Shahporir Dwip,,,,Shahporir Dwip,Sabrang,,CXB-045,Coxs_Bazar,,Teknaf
21.10888928,92.11756922,Shapotkhali,,,,Shapotkhali,Jalia Palong,,CXB-033,Coxs_Bazar,,Ukhia
21.040176,92.173342,Shilkhali (Boat landing point on Marine drive),,,,Shilkhali (Boat landing point on Marine drive),Baharchhara,,CXB-034,Coxs_Bazar,,teknaf
21.27857073,92.06848543,Sonaichori,,,,Sonaichori,Jalia Palong,,CXB-056,Coxs_Bazar,,Ukhia
21.28760379,92.15977185,Tulatuli,,,,Tulatuli,Ratna Palong,,CXB-060,Coxs_Bazar,,Ukhia
21.000754,92.237769,Uluchamri,,,,Uluchamri,Nhilla,,CXB-035,Coxs_Bazar,,teknaf
21.091473,92.212412,Unchingprang Chiallapara,,,,Unchingprang Chiallapara,Whykong,,CXB-036,Coxs_Bazar,,teknaf
